user	初めての沖縄旅行で利用しました。
user	2泊3日、夫婦と3歳の子どもの計3名です。
user	お盆の繁忙期にもかかわらず、ホテルのスタッフの皆さま終始笑顔でとても素晴らしい対応に気持ちよく過ごすことが出来ました。
user	特に朝食バイキングでは、こちらが何も言っていないにもかかわらず、子ども向けの椅子、食器など用意していただき、助かりました。
user	メニューも沖縄ならではの食材を使ったものが豊富で、お腹いっぱい。
user	部屋からの眺めもすばらしく、上は青空、下はきらきら輝くビーチで申し分なし。
user	アメニティもシャンプー・コンディショナーなどがフロントで選べるシステムで、私がいつも使っているブランドがあり、大変うれしかったです。
user	また近くには警察署があり、治安の面でも安心だと思います。
user	アクセス面は空港から路線バスで行けるようでしたが、ホテルのホームページにあった地図がわかりにくく、やむを得ずタクシーを利用しました。
user	ここだけは改善して欲しいですね。
user	ただ総合的にみれば、大変コストパフォーマンスの良いホテル。
user	機会があればリピートしたいです。
