user	●●砂丘は、とても幻想的な景色が見られてお勧めです。
user	
user	●●砂丘は最寄駅からバスで30分ほどかかりますので、マイカーなどで来るのがおすすめです。
user	
user	そこには高い丘があり、ソリや段ボールなどを使ってソリ滑りをしている人がたくさんいました。
user	
user	行くときにはソリ滑りができるように、段ボールなどをもっていくとより楽しめます。
user	
user	●●砂丘は海に面しており、入り口から海辺が見える場所までは砂地をかなり歩くので、足腰が弱い人は少し大変かもしれません。
user	
user	青い海と砂丘の景色はまるで別の星にでも来ているかのような不思議できれいな景色です。
user	
user	一番の見どころは海に沈んでゆく夕日を、砂丘の丘の上から眺めることです。
user	
user	沈んでいく夕日が海と砂丘を真っ赤に照らす様子は、本当にみごたえがあります。
user	
user	子供が夏休みの季節に行きましたが、混んでいる時期でも砂丘自体が広いので、あまりごみごみしていません。
user	
user	高齢者には歩くのが大変かもしれないので、子供づれで行くのがおすすめです。
user	(一人で行っても楽しめると思います)
